Mods count: 318
 
jar name                                                                       | mod id (isMCreator)                      | mixin configs
cobblegengalore-1.21.1-0.2.7.jar                                               | cobblegengalore                          | 
CodeChickenLib-1.21.1-4.6.1.524.jar                                            | codechickenlib                           | mixins.codechickenlib.json
    /META-INF/jarjar/Quack-0.4.10.105.jar                                      |                                          | 
colorfulhearts-neoforge-1.21.1-10.5.9.jar                                      | colorfulhearts                           | colorfulhearts.mixins.json, colorfulhearts-common.mixins.json
commoncapabilities-1.21.1-neoforge-2.9.12.jar                                  | commoncapabilities                       | 
compactmachines-neoforge-7.0.22.jar                                            | compactmachines                          | 
    /META-INF/jarjar/rendering-0.2.3.jar                                       |                                          | gander_render.mixins.json
    /META-INF/jarjar/levels-0.2.3.jar                                          |                                          | gander_levels.mixins.json
    /META-INF/jarjar/core-0.2.3.jar                                            |                                          | 
    /META-INF/jarjar/ui-0.2.3.jar                                              |                                          | 
    /META-INF/jarjar/spatial-0.2.1.jar                                         |                                          | 
    /META-INF/jarjar/dev.compactmods.compactmachines.core-api-7.0.22.jar       |                                          | 
    /META-INF/jarjar/jnanoid-2.0.0.jar                                         |                                          | 
    /META-INF/jarjar/feather-0.1.8.jar                                         |                                          | 
configured-neoforge-1.21.1-2.6.0.jar                                           | configured                               | 
connectedglass-1.1.14-neoforge-mc1.21.jar                                      | connectedglass                           | connectedglass.mixins.json
connectivity-1.21.1-7.1.jar                                                    | connectivity                             | connectivity.mixins.json
ConstructionSticks-1.21.1-1.2.3.jar                                            | constructionstick                        | 
Controlling-neoforge-1.21.1-19.0.5.jar                                         | controlling                              | controlling.mixins.json, controlling.neoforge.mixins.json
cookingforblockheads-neoforge-1.21.1-21.1.16.jar                               | cookingforblockheads                     | cookingforblockheads.neoforge.mixins.json, cookingforblockheads.mixins.json
coroutil-neoforge-1.21.0-1.3.8.jar                                             | coroutil                                 | coroutil.mixins.json, coroutil_fabric.mixins.json
cosmeticarmorreworked-1.21.1-v1-neoforge.jar                                   | cosmeticarmorreworked                    | 
crafting_on_a_stick-1.21.0.2.jar                                               | crafting_on_a_stick                      | 
craftingtweaks-neoforge-1.21.1-21.1.6.jar                                      | craftingtweaks                           | craftingtweaks.neoforge.mixins.json, craftingtweaks.mixins.json
CrashAssistant-neoforge-1.20.6-1.21.4-1.9.15.jar                               | crash_assistant                          | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json
    /META-INF/jarjar/app.jar                                                   |                                          | 
    /META-INF/jarjar/crash_assistant-neoforge.jar                              | crash_assistant                          | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json
crashutilities-9.0.4.jar                                                       | crashutilities                           | 
create-1.21.1-6.0.6.jar                                                        | create                                   | create.mixins.json
    /META-INF/jarjar/flywheel-neoforge-1.21.1-1.0.4.jar                        | flywheel                                 | flywheel.impl.mixins.json, flywheel.backend.mixins.json
    /META-INF/jarjar/Registrate-MC1.21-1.3.0+62.jar                            |                                          | 
    /META-INF/jarjar/Ponder-NeoForge-1.21.1-1.0.56.jar                         | ponder                                   | ponder-common.mixins.json, ponder.mixins.json
create-dragons-plus-1.7.0.jar                                                  | create_dragons_plus                      | create_dragons_plus.mixins.json
    /META-INF/jarjar/conditional-mixin-neoforge-0.6.4.jar                      | conditional_mixin                        | 
